row0,col0,row1,col1,res1,err1,row2,col2,res2,err2,row3,col3,res3,err3
2,12,1,11,47.4751074091622,3.1528439787265787,1,10,44.278927253263056,3.6665455242242615,1,11,61.91119000257826,2.560474977900446
2,12,1,11,44.55755181058231,5.039339461260715,1,11,48.81030933941582,3.5295102202124715,1,11,67.1890231949233,4.104942045548274
2,13,1,12,58.80922729628725,3.1764672242433623,0,11,31.424406056807452,7.787752237289247,0,12,89.80748556170359,3.243828675870237
2,13,1,12,43.310369607127384,1.2954133264878656,0,11,50.22222645624,0.9779643302895471,1,12,61.19388918675249,0.9931837642504477
2,13,1,12,43.779835062040824,2.5660056238590885,0,12,42.705650510384,3.854062920035413,0,12,69.36050611393303,1.9249324694374264
2,13,1,12,46.185000931403415,1.0356931379958945,0,12,43.930991511706964,1.0183670195774153,1,12,53.63313311444781,0.9284983135376623
2,13,1,12,41.71413689263596,3.331052459833349,1,11,56.19097945730251,2.534765118302882,1,12,59.61456331846887,2.1740746574014356
2,13,1,12,41.8925975587572,2.7348564873188197,1,12,43.25211962591007,3.683371491730359,1,12,65.8284446409484,3.462067660064567
2,14,1,13,46.20492281083149,6.990941983072617,0,12,48.02519102882277,5.115581449044005,0,13,70.72098595146336,3.899786228523962
2,14,1,13,44.94130656820652,1.2166796743329722,0,12,42.96870488213025,1.2806037459837873,1,13,61.8373711038364,0.5986831814121225
2,14,1,13,49.502266270910624,2.983083171419154,0,13,40.0339064576714,4.190967530758553,0,13,72.19073372649036,3.6633186510133875
2,14,1,13,47.45871139265238,2.3939460555267487,0,13,38.675217969832616,2.35570462637583,1,13,77.21868769878907,1.3716639565771844
2,14,1,13,50.24891968298099,2.9548372645333187,1,12,44.987608648152275,2.875116988670304,1,13,66.41969925445339,2.0610449434254265
2,14,1,13,52.474055292766906,4.801556980763066,1,13,49.72002573471284,4.439351535561476,1,13,59.796356608088026,2.8435386476187423
2,15,1,14,47.006459597890554,5.8339157965264095,0,13,52.129090520179126,6.67812408350051,0,14,89.37312161879895,3.7918031861904637
2,15,1,14,47.94778121877012,2.244617596267546,0,13,45.40949316712918,1.9093309719365328,1,14,76.31833203135112,1.3513144413002345
2,15,1,14,59.17700997406498,4.581696444569205,0,14,40.2776497228357,6.668037826824328,0,14,102.63930264063501,3.1423374819664973
2,15,1,14,45.32909025074221,1.645037834717448,0,14,44.36750784962435,2.1496755447337157,1,14,65.01755735567552,1.5747996152438004
2,15,1,14,49.844532483181816,2.8521899593829656,1,13,45.03736379835164,2.6666488150073877,1,14,62.82830136106222,2.2743666166394907
2,15,1,14,53.21113608339284,2.794861647073364,1,14,42.02074217490578,2.844182878112571,1,14,64.4575940999702,2.1894998020588425
3,2,2,1,44.66009428572061,3.813415869012265,1,1,51.36584103285924,3.748816167309955,1,1,74.78938990631504,3.055997888412805
3,2,2,1,44.13434890612577,1.4020333114079668,1,1,46.96532272033942,1.1698368006875706,2,1,61.122527568675785,1.019085307677234
3,3,2,2,51.03133276656595,3.1693243590642632,1,1,46.774819421775334,2.6990285175322377,1,2,78.91614349525736,2.241826969164928
3,3,2,2,46.988057820583755,1.6323329076383288,1,1,42.996620696249614,1.595812128023025,2,2,73.12032925566862,1.1558997640239705
3,3,2,2,49.77635119017004,2.632784523537862,1,2,37.67245578075191,3.6792632052070884,1,2,75.71560176851466,2.977757164963499
3,3,2,2,42.3894325168236,1.477297945033322,1,2,44.130143500326334,1.3251365792219474,2,2,68.73487759250214,1.0701168504277816
3,4,2,3,59.24794492610391,4.12730820998894,1,2,41.933817297192554,3.9114858800476995,1,3,61.81634185059554,2.9470919982381005
3,4,2,3,42.544628600172686,1.2903488493333164,1,2,44.866499170718214,1.0289666501217667,2,3,59.9969044851616,1.0860193742620643
3,4,2,3,46.55415941134195,3.1222349315575686,1,3,41.244310605109,3.857991680786797,1,3,73.73199391774985,2.38093479760098
3,4,2,3,44.38921831749029,1.449272758110808,1,3,43.49554331308537,1.550879759485706,2,3,64.59074028714417,2.551549808853589
3,5,2,4,43.30280804122104,4.315301908324778,1,3,47.31607033214675,3.604380042632796,1,4,71.94618923696981,4.076689045379094
