Measurement done: 2025-07-22 19:42:09.488798
Voltage SourceMeter: Keithley 2410
Pad Currentmeter:    Keithley 6487

Comments: 
Enter comments here

Number of points for median: 5
Hardware compliance: 5E-6
Software compliance used: False, value: 25μA
Set voltage (V), 	 Measured voltage (V), 	 σ_voltage (V), 	 Total current (A), 	 σ_total,  	 Pad current (A), 	 σ_pad
97.75,	97.76108,	0.00038990531734904674,	1.122911e-07,	1.981275055153201e-10,	3.594013e-10,	2.0517852243304157e-11
98.0,	98.02027,	0.0003843452574994953,	1.127064e-07,	1.1980225833590056e-10,	3.70883e-10,	1.7283760733678284e-11
98.25,	98.26109,	0.000511736443516244,	1.12868e-07,	2.2643150796787683e-10,	3.595655e-10,	2.2389148337540945e-11
98.5,	98.52121,	0.00036246572910179957,	1.137074e-07,	1.034891876128769e-10,	3.610855e-10,	2.220762749949878e-11
98.75,	98.76228,	0.00033208804331325074,	1.146022e-07,	1.5549667051431757e-10,	3.587235e-10,	2.1184864600333824e-11
99.0,	99.0232,	0.0004196915792652182,	1.147103e-07,	1.4351465468545584e-10,	3.60305e-10,	2.607200952687186e-11
99.25,	99.26449,	0.000433219049818759,	1.154742e-07,	1.114071960895081e-10,	3.506102e-10,	1.9635832808076208e-11
99.5,	99.52467,	0.00021528253533997628,	1.16113e-07,	1.3918625918851297e-10,	3.55088e-10,	2.6797720220882794e-11
99.75,	99.76479,	0.00040589469612398616,	1.167132e-07,	1.041330379490426e-10,	3.550263e-10,	2.132152860576085e-11
100.0,	100.0239,	0.0007850418580199537,	1.173285e-07,	2.1605878928666554e-10,	3.434831e-10,	2.1044022034048345e-11
101.0,	101.0067,	0.00022619257361435996,	1.201468e-07,	1.369611209981189e-10,	4.129689e-10,	8.675069693215208e-11
102.0,	102.0083,	0.00036497058581676586,	1.230592e-07,	1.0309470907538916e-10,	4.072383e-10,	9.040420885050341e-11
103.0,	103.0094,	0.00044979836248093774,	1.263529e-07,	8.378637066720171e-11,	3.945038e-10,	9.787563341252988e-11
105.0,	105.0139,	0.00028954385497835094,	1.333923e-07,	7.6834088527828e-11,	4.976954e-10,	1.888993571721275e-10
107.0,	107.0157,	0.00026527660175725877,	1.420059e-07,	1.3498445581797851e-10,	4.364254e-10,	2.2146025867167938e-10
110.0,	110.0033,	0.0002816871570559662,	1.554159e-07,	2.235204270645457e-10,	5.076365e-10,	3.185353801548986e-10
114.0,	114.0052,	0.0002622136518553209,	1.785949e-07,	4.012215118354599e-10,	7.465546e-10,	3.7280146401415793e-10
118.0,	118.0127,	0.000456925893091153,	2.092307e-07,	4.718374216867164e-10,	7.354632e-10,	3.782947202588956e-10
122.0,	121.9985,	0.00033173106979204203,	2.469305e-07,	6.602566990680558e-10,	6.993547e-10,	3.8310992162783767e-10
127.0,	127.0073,	0.00033683285868503135,	3.104595e-07,	9.644343500676233e-10,	1.139049e-09,	4.135889330160305e-10
132.0,	131.9996,	0.0005334215355848093,	3.94397e-07,	7.667532795753397e-10,	1.122843e-09,	4.2365852927599516e-10
138.0,	137.9921,	0.000334157416330123,	5.300382e-07,	1.6916913268116597e-09,	1.789542e-09,	4.3384672294403054e-10
144.0,	143.9712,	0.004537857697923843,	7.062135e-07,	2.9893057151120428e-09,	1.708369e-09,	4.48607820670742e-10
150.0,	149.6059,	0.08848170881104231,	9.20154e-07,	3.326575304949064e-09,	1.285394e-09,	4.4465583465457775e-10
157.0,	156.9847,	0.0005404427416444313,	1.230766e-06,	2.9678797784335736e-09,	2.171972e-09,	4.765337470392187e-10
164.0,	164.0007,	0.0002755662940678734,	1.614063e-06,	2.8342541559541746e-09,	1.953306e-09,	4.939634614565212e-10
172.0,	172.002,	0.0004003885426935998,	2.122116e-06,	3.2196392006688293e-09,	2.536861e-09,	5.189898136467138e-10
180.0,	180.0048,	0.00026696305613877435,	2.695997e-06,	3.2084715660414717e-09,	2.302173e-09,	5.420732408298723e-10
189.0,	189.0032,	0.00020008214909000098,	3.430141e-06,	2.0965999178107607e-09,	2.788185e-09,	5.763933222407922e-10
200.0,	200.011,	0.0002935462459278203,	4.450994e-06,	5.492586431229476e-09,	3.526383e-09,	5.931350091419847e-10
END
